sample	Location	Young_Adult	Gender.x	Age	RunNumber	Library	SamplingLocation	Group	Groupv2	Order	sample_id	ID on Supplementary Figure 1b	Origin	Model	Adult_Pups	Cage	Gender	Age (Mice (weeks) - Human (Years))	Strain	SampleType	country_abbreviation	institute_abbreviation	within_group_number	sample_type_abbreviation	institute_full	new_sample_label	Analysis of
Bahti_H41	Istanbul	Adult	Male	9	Run1	TruSeq	Feces	SPF	SPF	31	Istanbul_1	-	Europe-Turkey-Istanbul	SPF	Adult	F	Male	9	BALB/c	Feces	TR	IMU	2	F	Istanbul Medeniyet University	TR_IMU_2_F	Metagenomics
Bahti_H42	Istanbul	Adult	Male	9	Run1	TruSeq	Feces	SPF	SPF	32	Istanbul_2	-	Europe-Turkey-Istanbul	SPF	Adult	B	Male	9	BALB/c	Feces	TR	IMU	23	F	Istanbul Medeniyet University	TR_IMU_23_F	Metagenomics
Bahti_H43	Istanbul	Adult	Male	9	Run1	TruSeq	Feces	SPF	SPF	33	Istanbul_3	-	Europe-Turkey-Istanbul	SPF	Adult	A	Male	9	BALB/c	Feces	TR	IMU	1	F	Istanbul Medeniyet University	TR_IMU_1_F	Metagenomics
Bahti_H44	Istanbul	Adult	Male	9	Run1	TruSeq	Feces	SPF	SPF	34	Istanbul_4	-	Europe-Turkey-Istanbul	SPF	Adult	A	Male	9	BALB/c	Feces	TR	IMU	12	F	Istanbul Medeniyet University	TR_IMU_12_F	Metagenomics
Bahti_H45	Istanbul	Adult	Male	9	Run1	TruSeq	Feces	SPF	SPF	35	Istanbul_5	-	Europe-Turkey-Istanbul	SPF	Adult	B	Male	9	BALB/c	Feces	TR	IMU	26	F	Istanbul Medeniyet University	TR_IMU_26_F	Metagenomics
W43	Jagiellonian	Adult	Male	Unknown	Run4	Nextera	Cecum	SPF	SPF	124	Jagiellonian_1	-	Krakow	SPF	Adult	1	Male	12	C57BL/6J	Cecum	PL	UJ	1	C	Jagiellonian University	PL_UJ_1_C	Metagenomics
W44	Jagiellonian	Adult	Male	Unknown	Run4	Nextera	Cecum	SPF	SPF	125	Jagiellonian_2	-	Krakow	SPF	Adult	1	Male	12	C57BL/6J	Cecum	PL	UJ	2	C	Jagiellonian University	PL_UJ_2_C	Metagenomics
W45	Jagiellonian	Adult	Male	Unknown	Run4	Nextera	Cecum	SPF	SPF	126	Jagiellonian_3	-	Krakow	SPF	Adult	1	Male	12	C57BL/6J	Cecum	PL	UJ	3	C	Jagiellonian University	PL_UJ_3_C	Metagenomics
W46	Jagiellonian	Adult	Male	Unknown	Run4	Nextera	Cecum	SPF	SPF	127	Jagiellonian_4	-	Krakow	SPF	Adult	1	Male	12	C57BL/6J	Cecum	PL	UJ	4	C	Jagiellonian University	PL_UJ_4_C	Metagenomics
W47	Jagiellonian	Adult	Male	Unknown	Run4	Nextera	Cecum	SPF	SPF	128	Jagiellonian_5	-	Krakow	SPF	Adult	1	Male	12	C57BL/6J	Cecum	PL	UJ	5	C	Jagiellonian University	PL_UJ_5_C	Metagenomics
Poland1	Jagiellonian	Adult	Unknown	Unknown	Run5	TruSeq	Feces	SPF	SPF	193	Jagiellonian_6	-	Krakow	SPF	Adult	1	Male	12	C57BL/6J	Feces	PL	UJ	1	F	Jagiellonian University	PL_UJ_1_F	Metagenomics
Poland2	Jagiellonian	Adult	Unknown	Unknown	Run5	TruSeq	Feces	SPF	SPF	194	Jagiellonian_7	-	Krakow	SPF	Adult	1	Male	12	C57BL/6J	Feces	PL	UJ	2	F	Jagiellonian University	PL_UJ_2_F	Metagenomics
Poland3	Jagiellonian	Adult	Unknown	Unknown	Run5	TruSeq	Feces	SPF	SPF	195	Jagiellonian_8	-	Krakow	SPF	Adult	1	Male	12	C57BL/6J	Feces	PL	UJ	3	F	Jagiellonian University	PL_UJ_3_F	Metagenomics
Poland4	Jagiellonian	Adult	Unknown	Unknown	Run5	TruSeq	Feces	SPF	SPF	196	Jagiellonian_9	-	Krakow	SPF	Adult	1	Male	12	C57BL/6J	Feces	PL	UJ	4	F	Jagiellonian University	PL_UJ_4_F	Metagenomics
W58	Jena	Adult	Male	12	Run4	Nextera	Feces	SPF	SPF	139	Jena_1	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Feces	DE	FSU	1	F	Friedrich-Schiller University	DE_FSU_1_F	Metagenomics
W59	Jena	Adult	Male	12	Run4	Nextera	Feces	SPF	SPF	140	Jena_2	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Feces	DE	FSU	2	F	Friedrich-Schiller University	DE_FSU_2_F	Metagenomics
W60	Jena	Adult	Male	12	Run4	Nextera	Feces	SPF	SPF	141	Jena_3	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Feces	DE	FSU	3	F	Friedrich-Schiller University	DE_FSU_3_F	Metagenomics
W61	Jena	Adult	Male	12	Run4	Nextera	Feces	SPF	SPF	142	Jena_4	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Feces	DE	FSU	4	F	Friedrich-Schiller University	DE_FSU_4_F	Metagenomics
W62	Jena	Adult	Male	12	Run4	Nextera	Feces	SPF	SPF	143	Jena_5	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Feces	DE	FSU	5	F	Friedrich-Schiller University	DE_FSU_5_F	Metagenomics
W73	Jena	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	154	Jena_6	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Cecum	DE	FSU	1	C	Friedrich-Schiller University	DE_FSU_1_C	Metagenomics
W74	Jena	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	155	Jena_7	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Cecum	DE	FSU	2	C	Friedrich-Schiller University	DE_FSU_2_C	Metagenomics
W75	Jena	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	156	Jena_8	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Cecum	DE	FSU	3	C	Friedrich-Schiller University	DE_FSU_3_C	Metagenomics
W76	Jena	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	157	Jena_9	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Cecum	DE	FSU	4	C	Friedrich-Schiller University	DE_FSU_4_C	Metagenomics
W77	Jena	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	158	Jena_10	-	Europe-Germany-Jena	SPF	Adult	1	Male	12	C57BL/6J	Cecum	DE	FSU	5	C	Friedrich-Schiller University	DE_FSU_5_C	Metagenomics
Bahti_H21	Leiden	Adult	Female	24	Run1	TruSeq	Feces	SPF	SPF	36	Leiden_1	-	Europe-Holland-Leiden	SPF	Adult	Leiden_6	Male	29	C57BL/6JLumc	Feces	NL	LUMC	2	F	Leiden University Medical Center	NL_LUMC_2_F	Metagenomics
Bahti_H22	Leiden	Adult	Female	28	Run1	TruSeq	Feces	SPF	SPF	37	Leiden_2	-	Europe-Holland-Leiden	SPF	Adult	Leiden_20	Male	8	C57BL/6JLumc	Feces	NL	LUMC	33	F	Leiden University Medical Center	NL_LUMC_33_F	Metagenomics
Bahti_H23	Leiden	Adult	Male	29	Run1	TruSeq	Feces	SPF	SPF	38	Leiden_3	-	Europe-Holland-Leiden	SPF	Adult	Leiden_5	Male	29	C57BL/6JLumc	Feces	NL	LUMC	40	F	Leiden University Medical Center	NL_LUMC_40_F	Metagenomics
Bahti_H24	Leiden	Adult	Female	28	Run1	TruSeq	Feces	SPF	SPF	39	Leiden_4	-	Europe-Holland-Leiden	SPF	Adult	Leiden_19	Male	8	C57BL/6JLumc	Feces	NL	LUMC	32	F	Leiden University Medical Center	NL_LUMC_32_F	Metagenomics
Bahti_H25	Leiden	Adult	Male	29	Run1	TruSeq	Feces	SPF	SPF	40	Leiden_5	-	Europe-Holland-Leiden	SPF	Adult	Leiden_19	Male	29	C57BL/6JLumc	Feces	NL	LUMC	41	F	Leiden University Medical Center	NL_LUMC_41_F	Metagenomics
W26	LO	Adult	Unknown	Unknown	Run3	Nextera	Cecum	LO_Mus	WildMice	41	LO_1	-	Europe-France-Louan	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Louan	1	C	Kiel University	FR_CAU_Louan_1_C	Metagenomics
W27	LO	Adult	Unknown	Unknown	Run3	Nextera	Cecum	LO_Mus	WildMice	42	LO_2	-	Europe-France-Louan	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Louan	4	C	Kiel University	FR_CAU_Louan_4_C	Metagenomics
W28	LO	Adult	Unknown	Unknown	Run3	Nextera	Cecum	LO_Mus	WildMice	43	LO_3	-	Europe-France-Louan	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Louan	3	C	Kiel University	FR_CAU_Louan_3_C	Metagenomics
W29	LO	Adult	Unknown	Unknown	Run3	Nextera	Cecum	LO_Mus	WildMice	44	LO_4	-	Europe-France-Louan	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Louan	2	C	Kiel University	FR_CAU_Louan_2_C	Metagenomics
W30	LO	Adult	Unknown	Unknown	Run3	Nextera	Cecum	LO_Mus	WildMice	45	LO_5	-	Europe-France-Louan	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Louan	5	C	Kiel University	FR_CAU_Louan_5_C	Metagenomics
W21	MC	Adult	Unknown	Unknown	Run3	Nextera	Cecum	MC_Mus	WildMice	46	MC_1	-	Europe-France-MassifCentral	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_MassifCentral	2	C	Kiel University	FR_CAU_MassifCentral_2_C	Metagenomics
W22	MC	Adult	Unknown	Unknown	Run3	Nextera	Cecum	MC_Mus	WildMice	47	MC_2	-	Europe-France-MassifCentral	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_MassifCentral	3	C	Kiel University	FR_CAU_MassifCentral_3_C	Metagenomics
W23	MC	Adult	Unknown	Unknown	Run3	Nextera	Cecum	MC_Mus	WildMice	48	MC_3	-	Europe-France-MassifCentral	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_MassifCentral	5	C	Kiel University	FR_CAU_MassifCentral_5_C	Metagenomics
W24	MC	Adult	Unknown	Unknown	Run3	Nextera	Cecum	MC_Mus	WildMice	49	MC_4	-	Europe-France-MassifCentral	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_MassifCentral	4	C	Kiel University	FR_CAU_MassifCentral_4_C	Metagenomics
W25	MC	Adult	Unknown	Unknown	Run3	Nextera	Cecum	MC_Mus	WildMice	50	MC_5	-	Europe-France-MassifCentral	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_MassifCentral	1	C	Kiel University	FR_CAU_MassifCentral_1_C	Metagenomics
W31	NAA	Adult	Unknown	Unknown	Run3	Nextera	Cecum	NA_Mus	WildMice	51	NAA_1	-	Europe-France-Nancy	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Nancy	2	C	Kiel University	FR_CAU_Nancy_2_C	Metagenomics
W32	NAA	Adult	Unknown	Unknown	Run3	Nextera	Cecum	NA_Mus	WildMice	52	NAA_2	-	Europe-France-Nancy	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Nancy	1	C	Kiel University	FR_CAU_Nancy_1_C	Metagenomics
Bahti_H46	Postech	Adult	Male	7	Run1	TruSeq	Cecum	SPF	SPF	62	Postech_1	-	Asia-SouthKorea-Pohang	SPF	Adult	2	Male	7	C57BL/6J	Cecum	KR	POSTECH	1	C	Pohang University of Science and Technology	KR_POSTECH_1_C	Metagenomics
Bahti_H47	Postech	Adult	Male	7	Run1	TruSeq	Cecum	SPF	SPF	63	Postech_2	-	Asia-SouthKorea-Pohang	SPF	Adult	5	Male	7	C57BL/6J	Cecum	KR	POSTECH	2	C	Pohang University of Science and Technology	KR_POSTECH_2_C	Metagenomics
Bahti_H48	Postech	Adult	Male	7	Run1	TruSeq	Cecum	SPF	SPF	64	Postech_3	-	Asia-SouthKorea-Pohang	SPF	Adult	1	Male	7	C57BL/6J	Cecum	KR	POSTECH	3	C	Pohang University of Science and Technology	KR_POSTECH_3_C	Metagenomics
Bahti_H49	Postech	Adult	Male	7	Run1	TruSeq	Cecum	SPF	SPF	65	Postech_4	-	Asia-SouthKorea-Pohang	SPF	Adult	4	Male	7	C57BL/6J	Cecum	KR	POSTECH	4	C	Pohang University of Science and Technology	KR_POSTECH_4_C	Metagenomics
Bahti_H50	Postech	Adult	Male	7	Run1	TruSeq	Cecum	SPF	SPF	66	Postech_5	-	Asia-SouthKorea-Pohang	SPF	Adult	3	Male	7	C57BL/6J	Cecum	KR	POSTECH	5	C	Pohang University of Science and Technology	KR_POSTECH_5_C	Metagenomics
W93	RiodeJaneiro	Adult	Male	11	Run4	Nextera	Cecum	SPF	SPF	174	RiodeJaneiro_1	-	SouthAmerica-Brazil-RiodeJaneiro	SPF	Adult	1	Male	11	C57BL/6J	Cecum	BR	UFRJ	3	C	Universidade Federal do Rio de Janeiro	BR_UFRJ_3_C	Metagenomics
W94	RiodeJaneiro	Adult	Male	11	Run4	Nextera	Cecum	SPF	SPF	175	RiodeJaneiro_2	-	SouthAmerica-Brazil-RiodeJaneiro	SPF	Adult	1	Male	11	C57BL/6J	Cecum	BR	UFRJ	4	C	Universidade Federal do Rio de Janeiro	BR_UFRJ_4_C	Metagenomics
W95	RiodeJaneiro	Adult	Male	11	Run4	Nextera	Cecum	SPF	SPF	176	RiodeJaneiro_3	-	SouthAmerica-Brazil-RiodeJaneiro	SPF	Adult	1	Male	11	C57BL/6J	Cecum	BR	UFRJ	5	C	Universidade Federal do Rio de Janeiro	BR_UFRJ_5_C	Metagenomics
W96	RiodeJaneiro	Adult	Male	11	Run4	Nextera	Cecum	SPF	SPF	177	RiodeJaneiro_4	-	SouthAmerica-Brazil-RiodeJaneiro	SPF	Adult	1	Male	11	C57BL/6J	Cecum	BR	UFRJ	6	C	Universidade Federal do Rio de Janeiro	BR_UFRJ_6_C	Metagenomics
W97	RiodeJaneiro	Adult	Male	11	Run4	Nextera	Cecum	SPF	SPF	178	RiodeJaneiro_5	-	SouthAmerica-Brazil-RiodeJaneiro	SPF	Adult	1	Male	11	C57BL/6J	Cecum	BR	UFRJ	7	C	Universidade Federal do Rio de Janeiro	BR_UFRJ_7_C	Metagenomics
RF1	Rockefeller	Adult	Male	6	Run5	TruSeq	Feces	SPF	SPF	197	Rockefeller_1	-	NorthAmerica-NewYork-Rockefeller	SPF	Adult	1	Male	6	C57BL/6J	Feces	US	RU	1	F	Rockefeller University	US_RU_1_F	Metagenomics
RF2	Rockefeller	Adult	Male	6	Run5	TruSeq	Feces	SPF	SPF	198	Rockefeller_2	-	NorthAmerica-NewYork-Rockefeller	SPF	Adult	1	Male	6	C57BL/6J	Feces	US	RU	2	F	Rockefeller University	US_RU_2_F	Metagenomics
RF3	Rockefeller	Adult	Male	6	Run5	TruSeq	Feces	SPF	SPF	199	Rockefeller_3	-	NorthAmerica-NewYork-Rockefeller	SPF	Adult	1	Male	6	C57BL/6J	Feces	US	RU	3	F	Rockefeller University	US_RU_3_F	Metagenomics
RF4	Rockefeller	Adult	Male	6	Run5	TruSeq	Feces	SPF	SPF	200	Rockefeller_4	-	NorthAmerica-NewYork-Rockefeller	SPF	Adult	1	Male	6	C57BL/6J	Feces	US	RU	4	F	Rockefeller University	US_RU_4_F	Metagenomics
W38	Rockefeller	Adult	Male	6	Run4	Nextera	Cecum	SPF	SPF	119	Rockefeller_5	-	NorthAmerica-NewYork-Rockefeller	SPF	Adult	1	Male	6	C57BL/6J	Cecum	US	RU	1	C	Rockefeller University	US_RU_1_C	Metagenomics
W39	Rockefeller	Adult	Male	6	Run4	Nextera	Cecum	SPF	SPF	120	Rockefeller_6	-	NorthAmerica-NewYork-Rockefeller	SPF	Adult	1	Male	6	C57BL/6J	Cecum	US	RU	2	C	Rockefeller University	US_RU_2_C	Metagenomics
W40	Rockefeller	Adult	Male	6	Run4	Nextera	Cecum	SPF	SPF	121	Rockefeller_7	-	NorthAmerica-NewYork-Rockefeller	SPF	Adult	1	Male	6	C57BL/6J	Cecum	US	RU	3	C	Rockefeller University	US_RU_3_C	Metagenomics
W41	Rockefeller	Adult	Male	6	Run4	Nextera	Cecum	SPF	SPF	122	Rockefeller_8	-	NorthAmerica-NewYork-Rockefeller	SPF	Adult	1	Male	6	C57BL/6J	Cecum	US	RU	4	C	Rockefeller University	US_RU_4_C	Metagenomics
W42	Rockefeller	Adult	Male	6	Run4	Nextera	Cecum	SPF	SPF	123	Rockefeller_9	-	NorthAmerica-NewYork-Rockefeller	SPF	Adult	1	Male	6	C57BL/6J	Cecum	US	RU	5	C	Rockefeller University	US_RU_5_C	Metagenomics
SK6	SKO	Adult	Unknown	Unknown	Run2	TruSeq	Feces	SKO_Mus	WildMice	53	SKO_1	-	Europe-Wales-Skokholm	Wild	Adult	Unknown	Male	Unknown	WildMice_UK	Feces	GB	UO_Skokholm	8	F	University of Oxford	GB_UO_Skokholm_8_F	Metagenomics
SK7	SKO	Adult	Unknown	Unknown	Run2	TruSeq	Feces	SKO_Mus	WildMice	54	SKO_2	-	Europe-Wales-Skokholm	Wild	Adult	Unknown	Male	Unknown	WildMice_UK	Feces	GB	UO_Skokholm	7	F	University of Oxford	GB_UO_Skokholm_7_F	Metagenomics
SK8	SKO	Adult	Unknown	Unknown	Run2	TruSeq	Feces	SKO_Mus	WildMice	55	SKO_3	-	Europe-Wales-Skokholm	Wild	Adult	Unknown	Male	Unknown	WildMice_UK	Feces	GB	UO_Skokholm	6	F	University of Oxford	GB_UO_Skokholm_6_F	Metagenomics
SK9	SKO	Adult	Unknown	Unknown	Run2	TruSeq	Feces	SKO_Mus	WildMice	56	SKO_4	-	Europe-Wales-Skokholm	Wild	Adult	Unknown	Male	Unknown	WildMice_UK	Feces	GB	UO_Skokholm	9	F	University of Oxford	GB_UO_Skokholm_9_F	Metagenomics
W33	SL	Adult	Unknown	Unknown	Run3	Nextera	Cecum	SL_Mus	WildMice	57	SL_1	-	Europe-Germany-Schoemberg	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Schoemberg	3	C	Kiel University	DE_CAU_Schoemberg_3_C	Metagenomics
W34	SL	Adult	Unknown	Unknown	Run3	Nextera	Cecum	SL_Mus	WildMice	58	SL_2	-	Europe-Germany-Schoemberg	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Schoemberg	5	C	Kiel University	DE_CAU_Schoemberg_5_C	Metagenomics
W35	SL	Adult	Unknown	Unknown	Run3	Nextera	Cecum	SL_Mus	WildMice	59	SL_3	-	Europe-Germany-Schoemberg	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Schoemberg	2	C	Kiel University	DE_CAU_Schoemberg_2_C	Metagenomics
W36	SL	Adult	Unknown	Unknown	Run3	Nextera	Cecum	SL_Mus	WildMice	60	SL_4	-	Europe-Germany-Schoemberg	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Schoemberg	1	C	Kiel University	DE_CAU_Schoemberg_1_C	Metagenomics
W37	SL	Adult	Unknown	Unknown	Run3	Nextera	Cecum	SL_Mus	WildMice	61	SL_5	-	Europe-Germany-Schoemberg	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Schoemberg	4	C	Kiel University	DE_CAU_Schoemberg_4_C	Metagenomics
SK1	UK1	Adult	Unknown	Unknown	Run2	TruSeq	Feces	Apodemus_sylvaticus	WildMice	67	UK1_1	-	Europe-England-London1	Wild	Adult	Unknown	Unknown	Unknown	WildMice_UK	Feces	GB	UO_W_London1	1	F	University of Oxford	GB_UO_W_London1_1_F	Metagenomics
SK10	UK1	Adult	Unknown	Unknown	Run2	TruSeq	Feces	Apodemus_sylvaticus	WildMice	68	UK1_2	-	Europe-England-London1	Wild	Adult	Unknown	Unknown	Unknown	WildMice_UK	Feces	GB	UO_W_London1	2	F	University of Oxford	GB_UO_W_London1_2_F	Metagenomics
SK16	UK1	Adult	Unknown	Unknown	Run2	TruSeq	Feces	Apodemus_sylvaticus	WildMice	69	UK1_3	-	Europe-England-London1	Wild	Adult	Unknown	Unknown	Unknown	WildMice_UK	Feces	GB	UO_W_London1	3	F	University of Oxford	GB_UO_W_London1_3_F	Metagenomics
SK17	UK1	Adult	Unknown	Unknown	Run2	TruSeq	Feces	Apodemus_sylvaticus	WildMice	70	UK1_4	-	Europe-England-London1	Wild	Adult	Unknown	Unknown	Unknown	WildMice_UK	Feces	GB	UO_W_London1	4	F	University of Oxford	GB_UO_W_London1_4_F	Metagenomics
SK18	UK1	Adult	Unknown	Unknown	Run2	TruSeq	Feces	Apodemus_sylvaticus	WildMice	71	UK1_5	-	Europe-England-London1	Wild	Adult	Unknown	Unknown	Unknown	WildMice_UK	Feces	GB	UO_W_London1	5	F	University of Oxford	GB_UO_W_London1_5_F	Metagenomics
SK2	UK2	Adult	Unknown	Unknown	Run2	TruSeq	Feces	Apodemus_flavicollis	WildMice	72	UK2_1	-	Europe-England-London2	Wild	Adult	Unknown	Unknown	Unknown	WildMice_UK	Feces	GB	UO_W_London2	1	F	University of Oxford	GB_UO_W_London2_1_F	Metagenomics
SK3	UK2	Adult	Unknown	Unknown	Run2	TruSeq	Feces	Apodemus_flavicollis	WildMice	73	UK2_2	-	Europe-England-London2	Wild	Adult	Unknown	Unknown	Unknown	WildMice_UK	Feces	GB	UO_W_London2	2	F	University of Oxford	GB_UO_W_London2_2_F	Metagenomics
SK4	UK2	Adult	Unknown	Unknown	Run2	TruSeq	Feces	Apodemus_flavicollis	WildMice	74	UK2_3	-	Europe-England-London2	Wild	Adult	Unknown	Unknown	Unknown	WildMice_UK	Feces	GB	UO_W_London2	3	F	University of Oxford	GB_UO_W_London2_3_F	Metagenomics
SK5	UK2	Adult	Unknown	Unknown	Run2	TruSeq	Feces	Apodemus_flavicollis	WildMice	75	UK2_4	-	Europe-England-London2	Wild	Adult	Unknown	Unknown	Unknown	WildMice_UK	Feces	GB	UO_W_London2	4	F	University of Oxford	GB_UO_W_London2_4_F	Metagenomics
W103	Zurich	Adult	Male	Unknown	Run4	Nextera	Cecum	Zurich_Mus	WildMice	99	Zurich_1	-	Europe-Switzerland-Zurich	Wild	Adult	1	Male	Unknown	WildMice	Cecum	CH	UZH	1	C	University of Zurich	CH_UZH_1_C	Metagenomics
W104	Zurich	Adult	Male	Unknown	Run4	Nextera	Cecum	Zurich_Mus	WildMice	100	Zurich_2	-	Europe-Switzerland-Zurich	Wild	Adult	1	Male	Unknown	WildMice	Cecum	CH	UZH	2	C	University of Zurich	CH_UZH_2_C	Metagenomics
W105	Zurich	Adult	Male	Unknown	Run4	Nextera	Cecum	Zurich_Mus	WildMice	101	Zurich_3	-	Europe-Switzerland-Zurich	Wild	Adult	1	Male	Unknown	WildMice	Cecum	CH	UZH	3	C	University of Zurich	CH_UZH_3_C	Metagenomics
W106	Zurich	Adult	Male	Unknown	Run4	Nextera	Cecum	Zurich_Mus	WildMice	102	Zurich_4	-	Europe-Switzerland-Zurich	Wild	Adult	1	Male	Unknown	WildMice	Cecum	CH	UZH	4	C	University of Zurich	CH_UZH_4_C	Metagenomics
W107	Zurich	Adult	Male	Unknown	Run4	Nextera	Cecum	Zurich_Mus	WildMice	103	Zurich_5	-	Europe-Switzerland-Zurich	Wild	Adult	1	Male	Unknown	WildMice	Cecum	CH	UZH	5	C	University of Zurich	CH_UZH_5_C	Metagenomics
Bahti_H1	Zurich	Adult	Male	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	76	Zurich_6	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	1	F	University of Zurich	CH_UZH_1_F	Metagenomics
Bahti_H10	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	77	Zurich_7	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	10	F	University of Zurich	CH_UZH_10_F	Metagenomics
Bahti_H11	Zurich	Adult	Male	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	78	Zurich_8	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	11	F	University of Zurich	CH_UZH_11_F	Metagenomics
Bahti_H12	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	79	Zurich_9	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	12	F	University of Zurich	CH_UZH_12_F	Metagenomics
Bahti_H13	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	80	Zurich_10	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	13	F	University of Zurich	CH_UZH_13_F	Metagenomics
Bahti_H14	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	81	Zurich_11	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	14	F	University of Zurich	CH_UZH_14_F	Metagenomics
Bahti_H15	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	82	Zurich_12	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	15	F	University of Zurich	CH_UZH_15_F	Metagenomics
Bahti_H16	Zurich	Adult	Male	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	83	Zurich_13	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	16	F	University of Zurich	CH_UZH_16_F	Metagenomics
Bahti_H17	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	84	Zurich_14	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	17	F	University of Zurich	CH_UZH_17_F	Metagenomics
Bahti_H18	Zurich	Adult	Male	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	85	Zurich_15	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	18	F	University of Zurich	CH_UZH_18_F	Metagenomics
Bahti_H19	Zurich	Adult	Male	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	86	Zurich_16	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	19	F	University of Zurich	CH_UZH_19_F	Metagenomics
Bahti_H2	Zurich	Adult	Male	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	87	Zurich_17	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	2	F	University of Zurich	CH_UZH_2_F	Metagenomics
Bahti_H20	Zurich	Adult	Male	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	88	Zurich_18	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Male	Unknown	WildMice	Feces	CH	UZH	20	F	University of Zurich	CH_UZH_20_F	Metagenomics
Bahti_H3	Zurich	Adult	Female	Unknown	Run1	TruSeq	Feces	Zurich_Mus	WildMice	89	Zurich_19	-	Europe-Switzerland-Zurich	SPF	Adult	Unknown	Female	Unknown	WildMice	Feces	CH	UZH	3	F	University of Zurich	CH_UZH_3_F	Metagenomics
